,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,2 years,2 years_lower,2 years_upper,Monthly,Monthly_lower,Monthly_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,yhat
271,2008-08-15,50.44139285796747,50.44139285796747,50.44139285796747,67.67293321951996,96.69745566997122,3.672200731114941,3.672200731114941,3.672200731114941,27.35392037105305,27.35392037105305,27.35392037105305,31.260968630999617,31.260968630999617,31.260968630999617,0.0,0.0,0.0,0.23484752883162666,0.23484752883162666,0.23484752883162666,81.70236148896709
272,2008-09-15,50.54282227605468,50.54282227605468,50.54282227605468,61.439717366944315,90.01084775816747,2.821022341692744,2.821022341692744,2.821022341692744,21.791732253533684,21.791732253533684,21.791732253533684,24.758284795258863,24.758284795258863,24.758284795258863,0.0,0.0,0.0,0.14553020003243572,0.14553020003243572,0.14553020003243572,75.30110707131354
273,2008-10-15,50.64097977512875,50.64097977512875,50.64097977512875,64.65322225657869,94.39665075804628,1.4219411850093386,1.4219411850093386,1.4219411850093386,27.353920371052624,27.353920371052624,27.353920371052624,28.40064679755133,28.40064679755133,28.40064679755133,0.0,0.0,0.0,-0.3752147585106293,-0.3752147585106293,-0.3752147585106293,79.04162657268009
274,2008-11-15,50.74240919083863,50.74240919083863,50.74240919083863,56.51002224272678,86.13408032899139,-0.545888587565504,-0.545888587565504,-0.545888587565504,21.791732253533006,21.791732253533006,21.791732253533006,19.979128340407055,19.979128340407055,19.979128340407055,0.0,0.0,0.0,-1.2667153255604486,-1.2667153255604486,-1.2667153255604486,70.72153753124569
275,2008-12-15,50.84056668991271,50.84056668991271,50.84056668991271,59.21554861053415,89.00170708064631,-2.552962565692702,-2.552962565692702,-2.552962565692702,27.353920371052194,27.353920371052194,27.353920371052194,23.125609076417447,23.125609076417447,23.125609076417447,0.0,0.0,0.0,-1.6753487289420477,-1.6753487289420477,-1.6753487289420477,73.96617576633017
276,2009-01-15,50.941996105622586,50.941996105622586,50.941996105622586,53.11681321876987,83.30366407930993,-4.049452610117979,-4.049452610117979,-4.049452610117979,21.791732253544673,21.791732253544673,21.791732253544673,17.382459104057546,17.382459104057546,17.382459104057546,0.0,0.0,0.0,-0.35982053936914743,-0.35982053936914743,-0.35982053936914743,68.32445520968014
277,2009-02-15,51.043425521332466,51.043425521332466,51.043425521332466,46.857040312878645,76.29268480423369,-4.424660332707409,-4.424660332707409,-4.424660332707409,15.983774728999967,15.983774728999967,15.983774728999967,11.276262581567666,11.276262581567666,11.276262581567666,0.0,0.0,0.0,-0.28285181472489357,-0.28285181472489357,-0.28285181472489357,62.31968810290013
278,2009-03-15,51.135039187134936,51.135039187134936,51.135039187134936,71.61569692135654,100.6263899873747,-3.8291396230907244,-3.8291396230907244,-3.8291396230907244,38.60432196433737,38.60432196433737,38.60432196433737,35.738256530767956,35.738256530767956,35.738256530767956,0.0,0.0,0.0,0.9630741895212946,0.9630741895212946,0.9630741895212946,86.87329571790289
279,2009-04-15,51.236468602844816,51.236468602844816,51.236468602844816,71.6067576197438,101.61825448791889,-2.71522548829078,-2.71522548829078,-2.71522548829078,36.14157519596742,36.14157519596742,36.14157519596742,34.75346169114051,34.75346169114051,34.75346169114051,0.0,0.0,0.0,1.3271119834638756,1.3271119834638756,1.3271119834638756,85.98993029398532
280,2009-05-15,51.33462610191889,51.33462610191889,51.33462610191889,73.85702919197169,104.47926434572089,-1.877727770540263,-1.877727770540263,-1.877727770540263,38.60432196433796,38.60432196433796,38.60432196433796,37.424979191399345,37.424979191399345,37.424979191399345,0.0,0.0,0.0,0.6983849976016546,0.6983849976016546,0.6983849976016546,88.75960529331823
