,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
2375,2011-09-13,112.73491961703083,112.73491961703083,112.73491961703083,99.72103914581858,128.1151861747181,1.0359125992317375,1.0359125992317375,1.0359125992317375,0.0,0.0,0.0,-0.27027796083005207,-0.27027796083005207,-0.27027796083005207,1.3061905600617896,1.3061905600617896,1.3061905600617896,113.77083221626256
2376,2011-09-14,112.7308853323875,112.7308853323875,112.7308853323875,100.3507119180703,127.9212267260257,0.9961554297390545,0.9961554297390545,0.9961554297390545,0.0,0.0,0.0,-0.2464843100142348,-0.2464843100142348,-0.2464843100142348,1.2426397397532891,1.2426397397532891,1.2426397397532891,113.72704076212655
2377,2011-09-15,112.72685104774418,112.72685104774418,112.72685104774418,100.42933383534717,127.81986520046364,1.110280643015262,1.110280643015262,1.110280643015262,0.0,0.0,0.0,-0.06736297580249347,-0.06736297580249347,-0.06736297580249347,1.1776436188177557,1.1776436188177557,1.1776436188177557,113.83713169075943
2378,2011-09-16,112.72281676310087,112.72281676310087,112.72281676310087,99.63308597516671,127.425628571232,0.8557270033071639,0.8557270033071639,0.8557270033071639,0.0,0.0,0.0,-0.2562708427242771,-0.2562708427242771,-0.2562708427242771,1.111997846031441,1.111997846031441,1.111997846031441,113.57854376640803
2379,2011-09-19,112.71071390917092,112.71071390917092,112.71071390917092,99.90582496248491,128.00389589207063,0.6908065886609158,0.6908065886609158,0.6908065886609158,0.0,0.0,0.0,-0.22819867812822103,-0.22819867812822103,-0.22819867812822103,0.919005266789137,0.919005266789137,0.919005266789137,113.40152049783184
2380,2011-09-20,112.7066796245276,112.7066796245276,112.7066796245276,99.25507894042879,126.7668146551572,0.5881689620515648,0.5881689620515648,0.5881689620515648,0.0,0.0,0.0,-0.2702779608308048,-0.2702779608308048,-0.2702779608308048,0.8584469228823696,0.8584469228823696,0.8584469228823696,113.29484858657916
2381,2011-09-21,112.70264533988427,112.70264533988427,112.70264533988427,98.8362919328661,125.99369785826909,0.5543849427133537,0.5543849427133537,0.5543849427133537,0.0,0.0,0.0,-0.24648431001441143,-0.24648431001441143,-0.24648431001441143,0.8008692527277651,0.8008692527277651,0.8008692527277651,113.25703028259763
2382,2011-09-22,112.69861105524096,112.69861105524096,112.69861105524096,99.60704573413437,127.63816605114516,0.6794548290947224,0.6794548290947224,0.6794548290947224,0.0,0.0,0.0,-0.06736297580269691,-0.06736297580269691,-0.06736297580269691,0.7468178048974194,0.7468178048974194,0.7468178048974194,113.37806588433568
2383,2011-09-23,112.69457677059764,112.69457677059764,112.69457677059764,99.31677738262093,127.57614789429711,0.44047576475492334,0.44047576475492334,0.44047576475492334,0.0,0.0,0.0,-0.2562708427238141,-0.2562708427238141,-0.2562708427238141,0.6967466074787375,0.6967466074787375,0.6967466074787375,113.13505253535256
2384,2011-09-26,112.68247391666769,112.68247391666769,112.68247391666769,98.78195357267644,127.09906289601915,0.3451892907597156,0.3451892907597156,0.3451892907597156,0.0,0.0,0.0,-0.22819867812797656,-0.22819867812797656,-0.22819867812797656,0.5733879688876922,0.5733879688876922,0.5733879688876922,113.02766320742741
2385,2011-09-27,112.67843963202436,112.67843963202436,112.67843963202436,99.02530152967974,127.31376633944691,0.2713672302439802,0.2713672302439802,0.2713672302439802,0.0,0.0,0.0,-0.270277960830512,-0.270277960830512,-0.270277960830512,0.5416451910744922,0.5416451910744922,0.5416451910744922,112.94980686226835
2386,2011-09-28,112.67440534738105,112.67440534738105,112.67440534738105,98.87210059270289,126.89758140490184,0.2680253394519689,0.2680253394519689,0.2680253394519689,0.0,0.0,0.0,-0.2464843100144173,-0.2464843100144173,-0.2464843100144173,0.5145096494663861,0.5145096494663861,0.5145096494663861,112.94243068683302
2387,2011-09-29,112.67037106273774,112.67037106273774,112.67037106273774,98.83640192512635,126.7637295576177,0.4243939587828185,0.4243939587828185,0.4243939587828185,0.0,0.0,0.0,-0.06736297580267152,-0.06736297580267152,-0.06736297580267152,0.49175693458548997,0.49175693458548997,0.49175693458548997,113.09476502152056
2388,2011-09-30,112.66633677809442,112.66633677809442,112.66633677809442,101.08019978291523,126.96116706206482,0.21677957103489282,0.21677957103489282,0.21677957103489282,0.0,0.0,0.0,-0.2562708427242242,-0.2562708427242242,-0.2562708427242242,0.47305041375911694,0.47305041375911694,0.47305041375911694,112.88311634912931
2389,2011-10-03,112.65423392416446,112.65423392416446,112.65423392416446,99.97415636771346,127.34534275436688,0.20811473394734312,0.20811473394734312,0.20811473394734312,0.0,0.0,0.0,-0.22819867812865824,-0.22819867812865824,-0.22819867812865824,0.4363134120760014,0.4363134120760014,0.4363134120760014,112.8623486581118
2390,2011-10-04,112.65019963952115,112.65019963952115,112.65019963952115,98.59519545661959,127.95657047883745,0.1581806679559988,0.1581806679559988,0.1581806679559988,0.0,0.0,0.0,-0.27027796083021904,-0.27027796083021904,-0.27027796083021904,0.4284586287862178,0.4284586287862178,0.4284586287862178,112.80838030747715
2391,2011-10-05,112.64616535487782,112.64616535487782,112.64616535487782,98.75903493308462,126.1615246865913,0.17510456755507667,0.17510456755507667,0.17510456755507667,0.0,0.0,0.0,-0.24648431001465182,-0.24648431001465182,-0.24648431001465182,0.4215888775697285,0.4215888775697285,0.4215888775697285,112.8212699224329
2392,2011-10-06,112.64213107023451,112.64213107023451,112.64213107023451,99.76318210220461,126.25454932040603,0.34753996265063075,0.34753996265063075,0.34753996265063075,0.0,0.0,0.0,-0.06736297580268706,-0.06736297580268706,-0.06736297580268706,0.4149029384533179,0.4149029384533179,0.4149029384533179,112.98967103288514
2393,2011-10-07,112.6380967855912,112.6380967855912,112.6380967855912,98.72315371210723,126.47568702302948,0.15130089025155166,0.15130089025155166,0.15130089025155166,0.0,0.0,0.0,-0.25627084272440226,-0.25627084272440226,-0.25627084272440226,0.40757173297595395,0.40757173297595395,0.40757173297595395,112.78939767584275
2394,2011-10-10,112.62599393166124,112.62599393166124,112.62599393166124,98.99185124707752,126.69739106472423,0.14514903813941185,0.14514903813941185,0.14514903813941185,0.0,0.0,0.0,-0.22819867812934,-0.22819867812934,-0.22819867812934,0.37334771626875185,0.37334771626875185,0.37334771626875185,112.77114296980065
2395,2011-10-11,112.62195964701793,112.62195964701793,112.62195964701793,97.60838071098915,126.67512550016163,0.08489237429082892,0.08489237429082892,0.08489237429082892,0.0,0.0,0.0,-0.27027796083033095,-0.27027796083033095,-0.27027796083033095,0.35517033512115986,0.35517033512115986,0.35517033512115986,112.70685202130876
2396,2011-10-12,112.6179253623746,112.6179253623746,112.6179253623746,98.71304663657727,126.59344082886886,0.08588052854183278,0.08588052854183278,0.08588052854183278,0.0,0.0,0.0,-0.24648431001437116,-0.24648431001437116,-0.24648431001437116,0.33236483855620397,0.33236483855620397,0.33236483855620397,112.70380589091644
2397,2011-10-13,112.6138910777313,112.6138910777313,112.6138910777313,100.16982878850686,126.1512999174418,0.2369150547186583,0.2369150547186583,0.2369150547186583,0.0,0.0,0.0,-0.06736297580266165,-0.06736297580266165,-0.06736297580266165,0.30427803052132,0.30427803052132,0.30427803052132,112.85080613244996
2398,2011-10-14,112.60985679308797,112.60985679308797,112.60985679308797,98.68218336917248,126.26898204542597,0.014066189321418043,0.014066189321418043,0.014066189321418043,0.0,0.0,0.0,-0.2562708427239393,-0.2562708427239393,-0.2562708427239393,0.27033703204535736,0.27033703204535736,0.27033703204535736,112.62392298240938
2399,2011-10-17,112.59775393915803,112.59775393915803,112.59775393915803,97.72849513977522,126.91157655340209,-0.09911556051721741,-0.09911556051721741,-0.09911556051721741,0.0,0.0,0.0,-0.22819867812872502,-0.22819867812872502,-0.22819867812872502,0.1290831176115076,0.1290831176115076,0.1290831176115076,112.4986383786408
2400,2011-10-18,112.5937196545147,112.5937196545147,112.5937196545147,98.55347147567306,125.75890212928677,-0.20232958148221877,-0.20232958148221877,-0.20232958148221877,0.0,0.0,0.0,-0.27027796083067895,-0.27027796083067895,-0.27027796083067895,0.06794837934846014,0.06794837934846014,0.06794837934846014,112.39139007303248
2401,2011-10-19,112.58968536987139,112.58968536987139,112.58968536987139,97.82055119075676,125.37631665296406,-0.24686725051437253,-0.24686725051437253,-0.24686725051437253,0.0,0.0,0.0,-0.24648431001454787,-0.24648431001454787,-0.24648431001454787,-0.00038294049982467163,-0.00038294049982467163,-0.00038294049982467163,112.34281811935702
2402,2011-10-20,112.58557865591207,112.58557865591209,112.58557865591209,97.25957334116423,125.2026807569073,-0.14320356119608704,-0.14320356119608704,-0.14320356119608704,0.0,0.0,0.0,-0.06736297580263625,-0.06736297580263625,-0.06736297580263625,-0.07584058539345077,-0.07584058539345077,-0.07584058539345077,112.44237509471598
2403,2011-10-21,112.58147194195274,112.58147194195274,112.58147194195274,98.83567114193949,125.45679173654462,-0.4145111058073138,-0.4145111058073138,-0.4145111058073138,0.0,0.0,0.0,-0.2562708427234764,-0.2562708427234764,-0.2562708427234764,-0.15824026308383748,-0.15824026308383748,-0.15824026308383748,112.16696083614544
2404,2011-10-24,112.56915180007478,112.56915180007478,112.56915180007478,98.30044606896072,125.65612423296676,-0.6718334577367072,-0.6718334577367072,-0.6718334577367072,0.0,0.0,0.0,-0.22819867812848058,-0.22819867812848058,-0.22819867812848058,-0.44363477960822656,-0.44363477960822656,-0.44363477960822656,111.89731834233807
2405,2011-10-25,112.56504508611546,112.56504508611546,112.56504508611546,97.03377246902136,125.1562173402125,-0.8201365598240368,-0.8201365598240368,-0.8201365598240368,0.0,0.0,0.0,-0.2702779608301499,-0.2702779608301499,-0.2702779608301499,-0.5498585989938869,-0.5498585989938869,-0.5498585989938869,111.74490852629143
